quote_uuid,quote_text,author
92e542d2-80b9-4a64-bb3e-4edc4412d30e,"“He's like a drug for you, Bella.”",Stephenie Meyer
8c9bae5e-1d51-40f7-b340-dbf620a68f80,“There is no friend as loyal as a book.”,Ernest Hemingway
955ffbfe-35bb-4b64-aac7-b929b86038c2,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
eb5460af-4d2b-465d-b149-680883a4d7ad,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
f1e80105-0945-4912-ac11-4771d8b791c1,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski
6c76928b-529d-4580-a129-05b659b47442,“You don’t forget the face of the person who was your last hope.”,Suzanne Collins
4f5bb0e5-2dbe-4d5d-8df2-2ec278e7fe5c,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins
713f838b-6910-45f1-8351-52205fb48bbb,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis
3ef9fae0-04aa-454b-8732-7fa5a92432f8,“Not all those who wander are lost.”,J.R.R. Tolkien
3504e2dd-ac04-408c-b6fb-c8a4bdf86c64,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling
10a6a841-4366-457d-865a-ada97c12370c,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway
b1a43639-ec55-4d9b-a75e-925fbd0e46ed,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson
388658a7-c1fc-4904-a896-99d0380b0b31,“I have never let my schooling interfere with my education.”,Mark Twain
5cafbbfb-c928-495a-88fc-13b2e59a1caf,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss
bbb158ed-0b10-4d48-828d-a95367222711,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
